v3,Target,OBC,Local Var,,,,,,,,,,,,,,,,,
,PacketID,0x27,int offset = CA_TLM_PAGE_SIZE * (command_analyze->tlm_page_no);##,,,,,,,,,,,,,,,,,
,Enable/Disable,ENABLE,,,,,,,,,,,,,,,,,,
,IsRestricted,FALSE,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Comment,TLM Field,Onboard Software Info.,,Extraction Info.,,,,Conversion Info.,,,,,,,,Display Info.,,,Description,Note
,Name,Var.##Type,Variable or Function Name,Field##Type,Pos. Designator,,,Conv.##Type,Poly (Σa_i * x^i),,,,,,Status,Label,Unit,Format,,
,,,,,Octet##Pos.,bit##Pos.,bit##Len.,,a0,a1,a2,a3,a4,a5,,,,,,
,PH.VER,uint16_t,,uint8_t,0,0,3,NONE,,,,,,,,,,,,
,PH.TYPE,,,uint8_t,0,3,1,NONE,,,,,,,,,,,,
,PH.SH_FLAG,,,uint8_t,0,4,1,NONE,,,,,,,,,,,,
,PH.APID,,,uint16_t,0,5,11,NONE,,,,,,,,,,,,
,PH.SEQ_FLAG,uint16_t,,uint8_t,2,0,2,NONE,,,,,,,,,,,,
,PH.SEQ_COUNT,,,uint16_t,2,2,14,NONE,,,,,,,,,,,,
,PH.PACKET_LEN,uint16_t,,uint16_t,4,0,16,NONE,,,,,,,,,,,,
,SH.VER,uint8_t,,uint8_t,6,0,8,NONE,,,,,,,,,,,,
,SH.TI,uint32_t,,uint32_t,7,0,32,NONE,,,,,,,,,,,,
,SH.TLM_ID,uint8_t,,uint8_t,11,0,8,HEX,,,,,,,,,,,,
,SH.GLOBAL_TIME,double,,double,12,0,64,NONE,,,,,,,,,,,,
,SH.ON_BOARD_SUBNET_TIME,uint32_t,,uint32_t,20,0,32,NONE,,,,,,,,,,,,
,SH.DEST_FLAGS,uint8_t,,uint8_t,24,0,8,HEX,,,,,,,,,,,,
,SH.DEST_INFO,uint8_t,,uint8_t,25,0,8,NONE,,,,,,,,,,,,
,PAGE_NO,uint8_t,(uint8_t)(command_analyze->tlm_page_no),uint8_t,26,0,8,NONE,,,,,,,,,,,,
,CMD0.FUNC,uint32_t,(uint32_t)(command_analyze->cmd_table[offset+0].cmd_func),uint32_t,27,0,32,HEX,,,,,,,,,,,,
,CMD0.PARAM0_SIZE,uint8_t,(uint8_t)(((command_analyze->cmd_table[offset+0].param_size_infos[0].packed_info.bit.first & 0x0f) << 4) | (command_analyze->cmd_table[offset+0].param_size_infos[0].packed_info.bit.second & 0x0f)),uint8_t,31,0,4,STATUS,,,,,,,0=NONE@@1=1BYTE@@2=2BYTE@@3=4BYTE@@4=8BYTE@@15=RAW@@*=N/A,,,,,
,CMD0.PARAM1_SIZE,,,uint8_t,31,4,4,STATUS,,,,,,,0=NONE@@1=1BYTE@@2=2BYTE@@3=4BYTE@@4=8BYTE@@15=RAW@@*=N/A,,,,,
,CMD0.PARAM2_SIZE,uint8_t,(uint8_t)(((command_analyze->cmd_table[offset+0].param_size_infos[1].packed_info.bit.first & 0x0f) << 4) | (command_analyze->cmd_table[offset+0].param_size_infos[1].packed_info.bit.second & 0x0f)),uint8_t,32,0,4,STATUS,,,,,,,0=NONE@@1=1BYTE@@2=2BYTE@@3=4BYTE@@4=8BYTE@@15=RAW@@*=N/A,,,,,
,CMD0.PARAM3_SIZE,,,uint8_t,32,4,4,STATUS,,,,,,,0=NONE@@1=1BYTE@@2=2BYTE@@3=4BYTE@@4=8BYTE@@15=RAW@@*=N/A,,,,,
,CMD0.PARAM4_SIZE,uint8_t,(uint8_t)(((command_analyze->cmd_table[offset+0].param_size_infos[2].packed_info.bit.first & 0x0f) << 4) | (command_analyze->cmd_table[offset+0].param_size_infos[2].packed_info.bit.second & 0x0f)),uint8_t,33,0,4,STATUS,,,,,,,0=NONE@@1=1BYTE@@2=2BYTE@@3=4BYTE@@4=8BYTE@@15=RAW@@*=N/A,,,,,
,CMD0.PARAM5_SIZE,,,uint8_t,33,4,4,STATUS,,,,,,,0=NONE@@1=1BYTE@@2=2BYTE@@3=4BYTE@@4=8BYTE@@15=RAW@@*=N/A,,,,,
,CMD1.FUNC,uint32_t,(uint32_t)(command_analyze->cmd_table[offset+1].cmd_func),uint32_t,34,0,32,HEX,,,,,,,,,,,,
,CMD1.PARAM0_SIZE,uint8_t,(uint8_t)(((command_analyze->cmd_table[offset+1].param_size_infos[0].packed_info.bit.first & 0x0f) << 4) | (command_analyze->cmd_table[offset+1].param_size_infos[0].packed_info.bit.second & 0x0f)),uint8_t,38,0,4,STATUS,,,,,,,0=NONE@@1=1BYTE@@2=2BYTE@@3=4BYTE@@4=8BYTE@@15=RAW@@*=N/A,,,,,
,CMD1.PARAM1_SIZE,,,uint8_t,38,4,4,STATUS,,,,,,,0=NONE@@1=1BYTE@@2=2BYTE@@3=4BYTE@@4=8BYTE@@15=RAW@@*=N/A,,,,,
,CMD1.PARAM2_SIZE,uint8_t,(uint8_t)(((command_analyze->cmd_table[offset+1].param_size_infos[1].packed_info.bit.first & 0x0f) << 4) | (command_analyze->cmd_table[offset+1].param_size_infos[1].packed_info.bit.second & 0x0f)),uint8_t,39,0,4,STATUS,,,,,,,0=NONE@@1=1BYTE@@2=2BYTE@@3=4BYTE@@4=8BYTE@@15=RAW@@*=N/A,,,,,
,CMD1.PARAM3_SIZE,,,uint8_t,39,4,4,STATUS,,,,,,,0=NONE@@1=1BYTE@@2=2BYTE@@3=4BYTE@@4=8BYTE@@15=RAW@@*=N/A,,,,,
,CMD1.PARAM4_SIZE,uint8_t,(uint8_t)(((command_analyze->cmd_table[offset+1].param_size_infos[2].packed_info.bit.first & 0x0f) << 4) | (command_analyze->cmd_table[offset+1].param_size_infos[2].packed_info.bit.second & 0x0f)),uint8_t,40,0,4,STATUS,,,,,,,0=NONE@@1=1BYTE@@2=2BYTE@@3=4BYTE@@4=8BYTE@@15=RAW@@*=N/A,,,,,
,CMD1.PARAM5_SIZE,,,uint8_t,40,4,4,STATUS,,,,,,,0=NONE@@1=1BYTE@@2=2BYTE@@3=4BYTE@@4=8BYTE@@15=RAW@@*=N/A,,,,,
